Dataset,Number of Clusters
ak2010,3371
amazon0505,56739
amazon0601,55857
as-735,1849
bips98_606,2300
ca-AstroPh,2233
ca-HepPh,1744
ca-HepTh,2093
caidaRouterLevel,36395
citationCiteseer,49237
cit-HepPh,3922
cit-HepTh,2777
coAuthorsDBLP,36123
coPapersCiteseer,14868
com-Amazon,46551
com-DBLP,37959
delaunay_n22,667859
delaunay_n23,1336643
delaunay_n24,2671166
email-Enron,2482
email-EuAll,17911
email-Eu-core,20
europe_osm,17488537
kron_g500-logn17,23615
kron_g500-logn18,53154
kron_g500-logn19,118446
p2p-Gnutella25,5975
p2p-Gnutella30,9449
p2p-Gnutella31,16268
rgg_n_2_18_s0,17394
rgg_n_2_24_s0,814699
road_central,5526059
road_usa,9386710
wiki-Vote,1653
euk,284026
virus,37216
arch,107207
